Accel_X(g),Accel_Y(g),Accel_Z(g),Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps),Temperature
0.14,0.94,-0.07,0.04,-0.01,0.11,249
0.14,0.94,-0.07,0.02,-0.04,0.03,249
0.14,0.94,-0.07,-0.04,-0.05,-0.09,249
0.14,0.94,-0.07,-0.03,-0.03,-0.12,249
0.14,0.94,-0.07,-0.03,-0.00,-0.07,250
0.14,0.94,-0.07,-0.04,-0.02,-0.07,250
0.14,0.94,-0.07,-0.05,-0.03,-0.10,249
0.14,0.94,-0.07,-0.01,-0.02,-0.12,249
0.14,0.94,-0.07,0.01,-0.03,-0.08,249
0.14,0.94,-0.07,0.00,-0.03,0.04,249
0.14,0.94,-0.07,-0.02,-0.02,0.09,250
0.14,0.94,-0.07,-0.01,0.00,0.10,249
0.14,0.94,-0.07,0.02,-0.05,0.04,249
0.14,0.94,-0.07,0.01,-0.02,-0.05,249
0.14,0.94,-0.07,-0.02,0.02,-0.02,250
0.14,0.94,-0.07,-0.08,-0.02,0.01,249
0.14,0.94,-0.07,-0.10,-0.01,-0.05,250
0.14,0.94,-0.07,-0.06,-0.05,-0.16,249
0.14,0.94,-0.07,-0.02,-0.06,-0.19,249
0.14,0.94,-0.07,-0.00,-0.04,-0.10,249
0.14,0.94,-0.07,0.04,-0.02,0.06,249
0.14,0.94,-0.07,0.12,0.03,0.18,249
0.14,0.94,-0.07,0.17,0.08,0.22,249
0.14,0.94,-0.07,0.16,0.10,0.28,250
0.14,0.94,-0.07,0.14,0.08,0.29,249
0.14,0.94,-0.07,0.14,0.03,0.26,249
0.14,0.94,-0.07,0.08,0.01,0.17,249
0.14,0.94,-0.07,0.01,0.03,0.06,250
0.14,0.94,-0.07,-0.04,-0.01,-0.07,249
0.14,0.94,-0.07,-0.07,-0.08,-0.18,249
0.14,0.94,-0.07,-0.11,-0.09,-0.23,249
0.14,0.94,-0.07,-0.11,-0.06,-0.23,249
0.14,0.94,-0.07,-0.11,0.00,-0.21,249
0.14,0.94,-0.07,-0.08,-0.02,-0.22,249
0.14,0.94,-0.07,-0.03,-0.08,-0.22,250
0.13,0.94,-0.07,0.00,-0.02,-0.10,249
0.13,0.94,-0.07,0.06,0.02,0.07,250
0.13,0.94,-0.07,0.05,0.00,0.17,249
0.14,0.94,-0.07,0.03,0.02,0.19,249
0.14,0.94,-0.07,0.04,0.06,0.16,249
0.14,0.94,-0.07,0.04,0.03,0.12,249
0.14,0.94,-0.07,0.01,-0.03,0.09,250
0.14,0.94,-0.07,-0.01,-0.01,0.07,249
0.14,0.94,-0.07,-0.01,0.02,0.02,250
0.14,0.94,-0.07,-0.02,-0.02,-0.10,250
0.14,0.94,-0.07,-0.04,-0.02,-0.15,249
0.14,0.94,-0.07,-0.08,-0.01,-0.13,250
0.14,0.94,-0.07,-0.11,-0.05,-0.14,249
0.13,0.94,-0.07,-0.06,-0.03,-0.14,249
0.14,0.94,-0.07,0.03,0.04,-0.07,249
0.14,0.94,-0.07,0.05,0.05,0.03,250
0.14,0.94,-0.07,0.05,0.07,0.12,250
0.14,0.94,-0.07,0.07,0.08,0.14,249
0.13,0.94,-0.07,0.08,0.02,0.09,249
0.14,0.94,-0.07,0.05,-0.01,0.09,249
0.14,0.94,-0.07,0.07,0.01,0.16,249
